Name,Url,Telephone,Location,Investment (1000 Euros),Ci,Cap ,Demand ,Longitude,Latitude,AddressRegion,AddressLocality,AddressCountry,Tags
Dunmoe Castle,http://www.navanhistory.ie/index.php?page=dunmoe-castle-2,3.54E+11,427,441,2,190,10,-6.6373308,53.6739901,Meath,,Ireland,"Church Abbey,Monastery,Churches,Abbeys and Monastery"
Ballynacarriga Castle,http://www.castles.ancientireland.org/ballinacarriga/index.htm,3.53E+11,458,284,3,190,11,-9.031648,51.705571,Cork,Bandon,Ireland,"Castle,Historic Houses and Castle"
The Yeats Encounter,https://facebook.com/The-Yeats-Encounter-618433715302579,3.54E+11,509,187,2,190,9,-8.477227718,54.27385633,Sligo,Sligo Town,Republic of Ireland,"Activity Operator,Literary Ireland"
12 Henrietta Street,http://thedrawingroom.ie/,+353(0)862746153,204,333,2,189,5,-6.2705757,53.3524569,Dublin,Dublin City Centre,Ireland,"Historic Houses and Castle,Venue,Music"
Ardgillan Castle and Victorian Gardens,https://ardgillancastle.ie,35318492212,32,489,1,188,7,-6.1616584,53.5817894,Dublin,Balbriggan,Ireland,"Covid Safety Charter,Learning,Walking,Historic Houses and Castle,Castle,Gardens,Garden,Venue,Music,Cafe,Food and Drink,Local Produce,Restaurant,Tour"
Killoughternane,,,86,220,3,187,7,-6.824711153,52.66285596,Carlow,Bagenalstown,Republic of Ireland,"Church Abbey,Monastery,Churches,Abbeys and Monastery,Ruins,Historic Houses and Castle"
Kilcooley Abbey,"http://www.megalithicireland.com/Kilcooley%20Abbey,%20Tipperary.html",,126,174,1,186,5,-7.5713094,52.6707686,Tipperary,,Ireland,"Church Abbey,Monastery,Churches,Abbeys and Monastery"
Coppinger's Court,"http://www.megalithicireland.com/Coppinger's%20Court,%20Cork.html",3532821489,487,296,5,186,4,-9.0668602,51.5716479,Cork,,Ireland,"Castle,Historic Houses and Castle"
City Hall Cork,https://www.corkcity.ie/en/,3.53E+11,142,259,3,185,11,-8.464807,51.8965976,Cork,Cork City,Ireland,"Historic Houses and Castle,Venue,Comedy,Music"
Glanageenty Loop,http://www.irishtrails.ie/Trail/Glanageenty-loop-/112/,,410,199,1,185,6,-9.458949696,52.23297151,Kerry,,Ireland,"Walking,Forest Park,Park and Forest Walk,Natural Landscape"
Carnivan Beach,,,157,303,1,184,5,-6.830589669,52.17620032,Wexford,,Republic of Ireland,Beach
Project Arts Centre,http://www.projectartscentre.ie,+353(0)18819613,272,393,1,184,9,-6.266229,53.34502,Dublin,Dublin City Centre,Republic of Ireland,"Craft,Shopping,Art Gallery,Activity Operator,Food Shops"
Seamus Heaney: Listen Now Again,https://www.nli.ie/en/udlist/current-exhibitions.aspx?article=0ebd1d65-6087-4f38-a2a0-467de598b745,,349,100,2,184,8,-6.2594127,53.3450832,Dublin,Dublin City,Republic of Ireland,"Learning,Museums and Attraction,Literary Ireland"
Carrigogunnell Castle,http://www.megalithicireland.com/Carrigogunnell%20Castle.html,35361317522,420,464,5,184,6,-8.741821,52.646438,Limerick,Limerick City,Republic of Ireland,"Castle,Historic Houses and Castle"
The Spire,,,543,438,1,184,10,-6.260294,53.350921,Dublin,Dublin City,Ireland,Public Sculpture
Casino Model Railway Museum,http://www.modelrailwaymuseum.ie ,35361711222,13,371,5,183,4,-6.1582704,53.4505763,Dublin,Malahide,Ireland,"Historic Houses and Castle,Museums and Attraction,Tour"
Blessington Street Basin (Dublin's Secret Garden),http://www.dublincity.ie/main-menu-services-recreation-culture-dublin-city-parks-visit-park/blessington-street-basin,+353(0)16612369,492,425,1,182,11,-6.269691598,53.35722262,Dublin,Dublin City,Republic of Ireland,"Bird Watching,Nature and Wildlife,Walking,Gardens,Garden"
Liberty Tree,,+353(0)599130411,451,390,5,179,10,-6.929228,52.835025,Carlow,,Republic of Ireland,Public Sculpture
West Gate Heritage Tower,http://wexfordhub.com/history/westgate-tower,3.54E+11,518,228,5,179,9,-6.466286,52.341426,Wexford,,Republic of Ireland,Museums and Attraction
Macroom Buffalo Farm with O'Tuama Tours,https://www.otuamatours.ie,3.54E+11,540,196,1,179,3,-9.247536,51.85041,Cork,Ballingeary,Republic of Ireland,"Food and Drink,Restaurant,Activity Operator,Visitor Farm,Local Produce,Tour"
Beale Strand,,,186,212,2,178,9,-9.6312144,52.573972,Kerry,Ballybunion,Ireland,Discovery Point
Inish Beg Island,http://www.inishbeg.com,+353(0)2821745,304,300,3,177,5,-9.352918849,51.52125347,Cork,Baltimore,Republic of Ireland,"Bird Watching,Nature and Wildlife,Walking,Island,Offshore Island,Natural Landscape,Cafe,Food and Drink"
Kings Inns,http://www.kingsinns.ie,+353(0)18744840,398,252,2,177,7,-6.271646073,53.35287142,Dublin,,Republic of Ireland,"Covid Safety Charter,Photography,Learning,Walking,Historic Houses and Castle,Food Shops,Shopping"
St. Mullins Ecclesiastical Village,,3.54E+11,405,381,2,175,12,-6.929015936,52.49129964,Carlow,,Republic of Ireland,"Church Abbey,Monastery,Churches,Abbeys and Monastery"
Barnageara Beach,,+353(0)18400077,482,250,3,175,9,-6.148359036,53.58666584,Dublin,,Republic of Ireland,Beach
Dunloe Castle,https://killarney.ie/listing/dunloe-castle,3.54E+11,5,109,2,174,6,-9.627419,52.059671,Kerry,Beaufort,Republic of Ireland,"Castle,Historic Houses and Castle"
Castlemorris - Fern Loop,http://www.irishtrails.ie/Trail/Castlemorris---Fern-loop-/119/,,182,177,2,174,8,-7.212819444,52.48398887,Kilkenny,Knocktopher,Ireland,"Walking,Natural Landscape"
Malaidh Ghleann Gheis (Glengesh Pass),,,210,218,5,174,11,-8.4845379,54.720577,Donegal,,Republic of Ireland,Discovery Point
Droichead Arts Centre,http://www.droichead.com/,+353(0)419833946,262,279,2,174,9,-6.353303,53.714428,Louth,Drogheda,Republic of Ireland,"Craft,Shopping,Learning,Art Gallery,Cafe,Food and Drink,Pubs and Bar,Activity Operator"
Christ Church Castlebar,http://www.tuam.anglican.org/aughaval-westport/castlebar-christ-church,,318,217,1,174,9,-9.299977,53.854419,Mayo,Castlebar,Republic of Ireland,"Historic Houses and Castle,Church Abbey,Monastery,Churches,Abbeys and Monastery"
St Iberius Church,,,31,231,2,173,7,-6.4621424,52.3391991,Wexford,,Ireland,"Church Abbey,Monastery,Churches,Abbeys and Monastery"
Griffith Park,,+353(0)18373290,241,156,2,173,7,-6.261854713,53.37055995,Dublin,Drumcondra,Republic of Ireland,"Forest Park,Park and Forest Walk,Walking,National Park,National and Forest Park,Public Park,Nature and Wildlife"
Aran Islands - Inisheer  - Inis Oírr,http://www.discoverinisoirr.com,3539975008,257,109,4,172,8,-9.5281381,53.0594423,Galway,,Ireland,"Island,Offshore Island"
Greenfort,http://www.donegalgardentrail.com/site/?page_id=2306,3.54E+11,185,100,1,171,8,-7.65388635,55.13440451,Donegal,Kerrykeel,Republic of Ireland,"Gardening,Nature and Wildlife,Gardens,Garden"
Newcastle Woods,http://visitlongford.ie/trails/newcastle-woods-walking-trail,3.53E+11,306,458,2,171,12,-7.7261067,53.5621238,Longford,,Ireland,"Walking,Natural Landscape"
Sathya Sai Sanctuary For Nature,http://www.donkeys.ie,+353(0)861031932,471,216,2,171,3,-8.406741,54.067111,Sligo,Castlebaldwin,Republic of Ireland,"Visitor Farm,Activity Operator"
Tig Bhric & West Kerry Brewery,https://westkerrybrewery.ie,3.54E+11,120,153,4,170,8,-10.3863964,52.1704021,Kerry,Dingle Peninsula,Ireland,"Food and Drink,Restaurant,Museums and Attraction,Pubs and Bar,Tour"
Inis Cathaigh - Scattery Island Discovery Point,,,136,455,5,169,4,-9.518447007,52.61440511,Clare,Kilrush,Ireland,Discovery Point
O'Gorman's Lane Loop Walk,http://www.irishtrails.ie/Trail/O-Gormans-Lane-/583/,,305,166,2,169,3,-7.182288408,52.59235277,Kilkenny,Bennettsbridge,Ireland,"Walking,Natural Landscape"
General Post Office,http://www.anpost.ie/AnPost/History+and+Heritage/History/GPO+Dublin/,+353(0)17057000,308,449,3,169,9,-6.260654,53.349333,Dublin,,Republic of Ireland,"Historic Houses and Castle,Cafe,Food and Drink,Food Shops,Shopping"
Killeshin Romanesque Doorway,,3.54E+11,353,208,2,169,8,-6.997807671,52.84793949,Carlow,Killeshin,Republic of Ireland,"Church Abbey,Monastery,Churches,Abbeys and Monastery"
Desmond Castle and  Wine Museum,https://heritageireland.ie/visit/places-to-visit/desmond-castle-kinsale/,3.53E+11,436,441,5,169,10,-8.5246615,51.7072605,Cork,Kinsale,Ireland,"Castle,Historic Houses and Castle,Museums and Attraction"
Castlemorris - Pheasant loop,http://www.irishtrails.ie,,26,255,5,168,6,-7.278881549,52.4705016,Kilkenny,Knocktopher,Ireland,"Walking,Natural Landscape"
RUA RED South Dublin Arts Centre,http://www.ruared.ie,+353(0)14515860,190,203,3,168,6,-6.2603097,53.3498053,Dublin,Tallaght,Ireland,"Craft,Shopping,Learning,Art Gallery,Cafe,Food and Drink"
Tarbert Bridewell Courthouse & Jail Museum,http://www.tarbertbridewell.com,3536836500,205,358,2,168,12,-9.3764602,52.573661,Kerry,Tarbert,Ireland,"Photography,Learning,Historic Houses and Castle,Museums and Attraction,Cafe,Food and Drink,Food Shops,Shopping"
The Gaiety Theatre,http://www.gaietytheatre.ie,+353(0)16468600,223,132,4,167,12,-6.26163,53.340387,Dublin,,Republic of Ireland,"Historic Houses and Castle,Venue,Comedy,Music,Cafe,Food and Drink,Food Shops,Shopping,Tour"
Ballyteigue Strand,http://www.fishingireland.net,,260,100,5,167,7,-6.588429147,52.17149917,Wexford,Kilmore Quay,Republic of Ireland,"Fishing,Angling,Beach"
Ballynahow Castle,http://irishantiquities.bravehost.com/tipperary/ballynahow/ballynahow.html,,324,268,5,167,9,-7.8785802,52.6930716,Tipperary,,Ireland,"Castle,Historic Houses and Castle"
Murrooghtoohy,,,375,210,4,167,5,-9.2761731,53.140459,Clare,Fanore,Ireland,Discovery Point
Macroom Castle,https://www.castles.nl/macroom-castle,3532620544,528,313,5,167,3,-8.961492,51.904995,Cork,Macroom,Republic of Ireland,"Castle,Historic Houses and Castle"
Ferns Cathedral,https://www.archaeology.ie/monument-of-the-month/archive/ferns-co-wexford,,542,424,1,167,11,-6.4926135,52.5899833,Wexford,,Ireland,"Church Abbey,Monastery,Churches,Abbeys and Monastery"
Cé Mhachaire Uí Rabhartaigh  (Min Larach Harbour),,,296,418,5,166,9,-8.1746006,55.146192,Donegal,,Ireland,Embarkation Point
Famine Memorial,,,539,278,4,166,9,-6.250194,53.347933,Dublin,,Republic of Ireland,Public Sculpture
Kilteel Castle,http://www.megalithicireland.com/Kilteel%20Castle.html,35345521240,466,290,2,165,3,-6.5274876,53.2326787,Kildare,,Ireland,"Castle,Historic Houses and Castle,Ruins"
Rosses Point Coastal Walk,https://www.discoverireland.ie/sligo,,485,118,5,165,11,-8.557107709,54.30834572,Sligo,Rosses Point,Republic of Ireland,"Walking,Natural Landscape,Public Sculpture"
The Irish Rock 'N' Roll Museum Experience,https://www.facebook.com/irishrockmuseum,+353(0)16351993,93,293,5,164,9,-6.2645993,53.344865,Dublin,,Ireland,"Covid Safety Charter,Activity Operator,Museums and Attraction,Traditionally Irish,Food Shops,Shopping,Tour"
Kilcrea Franciscan Friary,http://ovensparish.com/kilcrea-abbey/,3.53E+11,207,197,2,164,9,-8.709483,51.859982,Cork,Ovens,Republic of Ireland,"Church Abbey,Monastery,Churches,Abbeys and Monastery"
The Gallery,http://www.thegallerydunfanaghy.com/,3.54E+11,269,418,3,164,4,-7.9772202,55.1791123,Donegal,Dunfanaghy,Ireland,"Craft,Shopping,Art Gallery"
Islands View,,,401,118,2,164,3,-9.9892062,53.606991,Galway,Renvyle,Ireland,Discovery Point
Dwyer McAllister Cottage,http://www.heritageireland.ie/en/midlands-eastcoast/dwyermcallistercottage,35340445325,483,315,3,164,3,-6.5648108,52.9619269,Wicklow,Donard,Ireland,"Historic Houses and Castle,Museums and Attraction"
The Four Courts,http://www.courts.ie/,+353(0)18886000,61,151,5,163,7,-6.273526,53.34591,Dublin,,Republic of Ireland,Historic Houses and Castle
Camp Beach,,+353(0)667121288,322,401,5,163,6,-9.922619032,52.22567895,Kerry,Camp,Republic of Ireland,Beach
Clare Heritage & Genealogy Centre,http://www.clareroots.com,3.54E+11,221,234,5,162,4,-9.0627719,52.9449817,Clare,Corofin,Ireland,"Covid Safety Charter,Learning,Activity Operator,Tracing Your Ancestors,Museums and Attraction"
Gleninagh Castle,,,385,112,3,162,11,-9.205829,53.1377228,Clare,,Ireland,"Castle,Historic Houses and Castle"
James Larkin,http://www.talkingstatuesdublin.ie/statues/larkin/,,42,368,4,160,4,-6.259937704,53.34907981,Dublin,Dublin City,Republic of Ireland,"Public Sculpture,Talking Statue"
Angling at Jerpoint Park,http://jerpointpark.com/activities-events/fishing-2/,+353(0)866061449,56,421,4,160,10,-7.166836,52.512917,Kilkenny,Thomastown,Ireland,"Fishing,Angling,Activity Operator,Natural Landscape"
The People's Museum of Limerick,http://peoplesmuseum.ie,3.54E+11,419,406,5,159,10,-8.6299147,52.6582447,Limerick,Limerick City,Republic of Ireland,"Covid Safety Charter,Museums and Attraction"
Courtown  Beach,,,544,475,4,159,11,-6.2260467,52.6479582,Wexford,Courtown,Ireland,Beach
St Multose Church,,3.53E+11,58,131,4,158,7,-8.525568,51.70585,Cork,Kinsale,Ireland,"Church Abbey,Monastery,Churches,Abbeys and Monastery"
The Wexford Slobs and Wildfowl Reserve,https://www.wexfordwildfowlreserve.ie,3.54E+11,90,249,2,158,11,-6.4200302,52.3570279,Wexford,,Ireland,"Bird Watching,Nature and Wildlife,Learning,Photography,Forest Park,Park and Forest Walk,Walking,National Park,National and Forest Park,Natural Landscape"
Marlay Park,http://www.dlrcoco.ie/parks/marlay_information.html,+353(0)14937372,94,235,1,158,12,-6.276237376,53.27676505,Dublin,Rathfarnham,Republic of Ireland,"Cycling,Golf,Walking,Gardens,Garden,Historic Houses and Castle,Public Park,Nature and Wildlife,Venue,Music,Sports Venues,Cafe,Food and Drink,Local Produce,Restaurant,Food Shops,Shopping,Tour"
Port na Feadóige (Gorteen Bay),,,422,417,3,158,11,-9.9544582,53.380887,Galway,Roundstone,Ireland,Discovery Point
Michael Collins Birthplace,http://www.michaelcollinscentre.com/,3.53E+11,475,314,1,157,9,-8.9805027,51.6165156,Cork,,Ireland,"Castle,Historic Houses and Castle,Ruins"
George Bernard Shaw,http://www.talkingstatuesdublin.ie/statues/george-bernard-shaw/,,141,263,2,156,8,-6.25248666,53.34092467,Dublin,,Ireland,"Covid Safety Charter,Public Sculpture,Talking Statue"
Sean Burns Gallery,http://www.seanburnsdesign.blogspot.com,+353(0)949372626,343,142,3,156,12,-8.996791,53.712736,Mayo,Claremorris,Ireland,"Craft,Shopping,Art Gallery"
The Irish Pewtermill Centre,,+353(0)879090044,118,131,5,155,6,-6.809467632,52.98488874,Kildare,Moone,Republic of Ireland,Museums and Attraction
Kilbrittain Whale,,+353(0)862567084,128,384,1,155,11,-8.6917337,51.6735577,Cork,Kilbrittain,Ireland,Natural Landscape
Ballybunion 'Walking the Beach' Looped Walk,http://www.irishtrails.ie/Trail/Ballybunion-Loops---Beach-Walk/607/,+353(0)667121288,198,484,4,155,7,-9.671727706,52.52350188,Kerry,Ballybunion,Republic of Ireland,"Walking,Beach,Natural Landscape"
Patrickstown Viewing Point,,,366,256,4,155,9,-7.085113,53.74976,Meath,Oldcastle,Ireland,Natural Landscape
Inis Meáin (Inishmaan) Seaport,,,43,214,5,154,12,-9.5879368,53.0894286,Galway,,Ireland,Discovery Point
Lackan Strand,,,135,237,4,154,3,-9.2574486,54.274154,Mayo,,Ireland,Discovery Point
Commons Loop,http://www.carlingford.ie,+353(0)429373033,209,295,5,154,9,-6.186023506,54.03790008,Louth,Carlingford,Republic of Ireland,"Walking,Natural Landscape"
Rumley's Open Farm,https://rumleysfarm.ie/,3.53E+11,116,206,3,153,8,-8.5365005,51.83483762,Cork,,Ireland,"Walking,Zip Lining,Activity Operator,Visitor Farm,Cafe,Food and Drink,Food Shops,Shopping"
Sligo County Library,https://sligolibrary.ie/,3.54E+11,340,465,2,152,8,-8.472651,54.2727356,Sligo,,Ireland,"Learning,Tracing Your Ancestors,Literary Ireland,Activity Operator"
O'Donovan's Castle,https://www.castles.nl/castle-donovan,3532821489,450,418,4,152,3,-9.2827815,51.692145,Cork,,Ireland,"Castle,Historic Houses and Castle"
Inch Island,,,211,127,3,151,7,-7.4599475,55.054828,Donegal,,Ireland,Discovery Point
St. Mary's Pro Cathedral,http://www.procathedral.ie,+353(0)18745441,361,405,2,151,9,-6.258885,53.351138,Dublin,Dublin City,Republic of Ireland,"Church Abbey,Monastery,Churches,Abbeys and Monastery,Venue,Music,Food Shops,Shopping"
Culleton’s Gap Beach ,,,363,348,2,151,9,-6.365338225,52.3718065,Wexford,Curracloe,Ireland,Beach
Locaboat Ireland,https://www.locaboat.com/en/boating-holidays/ireland/shannon/,3.54E+11,104,395,3,149,6,-8.099788373,53.94423816,Leitrim,,Republic of Ireland,"Cruising,Activity Operator,River,Discovery Point,Boat,Tour"
Black Castle Wicklow,"http://www.megalithicireland.com/Black%20Castle,%20Wicklow.html",,140,417,3,149,4,-6.030845,52.9811225,Wicklow,,Ireland,"Castle,Historic Houses and Castle,Ruins"
Railway Preservation Society Of Ireland,http://www.steamtrainsireland.com,+353(0)14800553,335,143,2,149,10,-6.152749,53.282627,Dublin,,Republic of Ireland,"Transport,Activity Operator,Museums and Attraction,Coach,Road"
Fitzmaurice Castle,https://www.ballybunion.ie/things-to-do/attractions/ballybunion-castle.html,3.54E+11,467,344,1,149,6,-9.6774631,52.5120069,Kerry,,Ireland,"Castle,Historic Houses and Castle"
Dalkey Castle & Heritage Centre,https://www.dalkeycastle.com,35312858366,377,203,3,148,6,-6.1055397,53.2779072,Dublin,Dalkey,Ireland,"Covid Safety Charter,Historic Houses and Castle,Castle,Museums and Attraction,Literary Ireland,Food Shops,Shopping,Tour"
Aughris Head,,,68,452,2,147,12,-8.7570235,54.268943,Sligo,Templeboy,Ireland,Discovery Point
Cnoc Fola,,,301,128,2,147,8,-8.2895011,55.137202,Donegal,,Ireland,Discovery Point
Rinn Duin Castle Loop,https://www.sportireland.ie/outdoors/walking/trails/rinn-duin-castle-loop?county=53&grade=402&length=All#list,+353(0)906630252,386,133,4,147,10,-8.00432573,53.54419666,Roscommon,,Republic of Ireland,"Walking,Castle,Historic Houses and Castle,Ruins"
Áras an Uachtaráin,http://www.president.ie/en,+353(0)16770095,423,393,1,147,3,-6.311431,53.361618,Dublin,Phoenix Park,Republic of Ireland,"Historic Houses and Castle,Gardens,Garden,Tour"
Bullock Castle,http://www.dlrtourism.ie,+353(0)1280 6964,206,479,2,146,4,-6.108629,53.285016,Dublin,Dalkey,Republic of Ireland,"Castle,Historic Houses and Castle,Ruins"
Leahy's Open Farm,https://leahysopenfarm.ie/,3.54E+11,277,384,2,146,8,-8.072923129,52.00899811,Cork,Dungourney,Republic of Ireland,"Covid Safety Charter,Restaurant,Climbing,Activity Operator,Visitor Farm,Cafe,Food and Drink"
Listowel River Walk,http://www.irishtrails.ie/Trail/Listowel-Village-Walks---River-Walk/609/,,474,481,5,146,3,-9.483925274,52.44712012,Kerry,Listowel,Republic of Ireland,"Walking,Castle,Historic Houses and Castle,Public Park,Nature and Wildlife,Public Sculpture"
Phil Lynott Statue,,,536,363,2,145,11,-6.2606956,53.341281,Dublin,,Ireland,Public Sculpture
Abbeyleix Loops - Killamuck Bog,http://www.irishtrails.ie/Trail/Abbeyleix-Loops---Killamuck-Bog-loop/623/,,41,238,5,143,7,-7.353079203,52.90683053,Laois,Abbeyleix,Ireland,"Walking,Natural Landscape"
Alix Gardners Cookery School,http://www.dublincookery.com,+353(0)16681553,133,150,4,143,10,-6.245333,53.329644,Dublin,Ballsbridge,Republic of Ireland,"Cooking,Cookery,Learning,Activity Operator,Historic Houses and Castle,Artisan,Food and Drink,Restaurant,Local Produce"
Roe & Co Whiskey Distillery,https://roeandcowhiskey.com,35316435999,389,118,4,142,11,-6.2856618,53.3436766,Dublin,Dublin,Ireland,"Food and Drink,Restaurant,Activity Operator,Museums and Attraction,Cafe,Pubs and Bar,Food Shops,Shopping,Tour"
Glanworth Castle And Dominican Friary,http://irishantiquities.bravehost.com/cork/castlelyons/castlelyons.html,,449,487,1,142,5,-8.354437,52.1882374,Cork,Glanworth,Ireland,"Church Abbey,Monastery,Churches,Abbeys and Monastery"
Piltown - Mountain Grove Loop,http://www.trailkilkenny.ie,+353(0)567752111,96,405,3,141,9,-7.341113595,52.35373178,Kilkenny,,Ireland,"Walking,Natural Landscape"
Secret Gardens Sligo,https://www.secretgardensofsligo.com/gardens,3.54E+11,179,463,5,141,4,-8.476086439,54.27641929,Sligo,Sligo Town,Ireland,"Gardening,Nature and Wildlife,Gardens,Garden"
Leap Castle,http://leapcastle.net,3.54E+11,237,484,2,141,6,-7.8084534,53.0279902,Offaly,Leap,Ireland,"Castle,Historic Houses and Castle"
Charles Fort,https://heritageireland.ie/places-to-visit/charles-fort-national-monument/,3.53E+11,533,446,5,141,9,-8.4989435,51.6970946,Cork,Kinsale,Ireland,"Covid Safety Charter,Castle,Historic Houses and Castle"
Poet's Cottage,http://www.laois.ie/departments/heritage/laois-heritage-trail/poets-cottage,,439,148,4,140,4,-7.5924095,53.0048261,Laois,,Ireland,Museums and Attraction
IMI Conference Centre & Residence,http://www.imi.ie/,+353(0)12078400,111,325,2,137,6,-6.231596,53.275966,Dublin,Sandyford,Republic of Ireland,"Restaurant,Learning,Historic Houses and Castle,Food and Drink,Food Shops,Shopping"
Ballymalis Castle,https://www.inspirock.com/ireland/killarney/ballymalis-castle-a58204201,3.54E+11,354,304,2,137,7,-9.6924377,52.0845424,Kerry,,Ireland,"Castle,Historic Houses and Castle"
Tír na Sí,http://www.tirnasi.com,3.53E+11,45,416,3,136,3,-8.3474797,52.0291372,Cork,Watergrasshill,Ireland,"Covid Safety Charter,Restaurant,Visitor Farm,Cafe,Food and Drink,Local Produce,Activity Operator"
Clonfert Pet Farm,https://www.clonfertpetfarm.com/,35316016314,231,230,4,136,3,-6.6745734,53.3618657,Kildare,Maynooth,Republic of Ireland,"Visitor Farm,Cafe,Food and Drink"
The Barony Of Erris Birdwatching,https://www.mayo-ireland.ie/en/towns-villages/bangor/bangor-activities-birdwatching.html,+353(0)9782292,88,206,4,135,5,-9.990733019,54.2237204,Mayo,,Republic of Ireland,"Bird Watching,Nature and Wildlife,Natural Landscape"
Carran Medieval Church,,3.54E+11,191,354,3,135,11,-9.0760449,53.0376019,Clare,Carran,Ireland,"Church Abbey,Monastery,Churches,Abbeys and Monastery"
Curragh Beach,,,242,204,4,135,3,-7.70896021,51.96696584,Waterford,Ardmore,Ireland,Beach
Nolans Castle,http://www.enniscrone.ie/castle,3.54E+11,254,168,5,135,12,-9.0855335,54.2161835,Sligo,Enniscrone,Ireland,"Castle,Historic Houses and Castle"
Doran's Point,,,514,480,5,135,9,-9.8685068,54.005341,Mayo,Ballycroy,Ireland,Embarkation Point
Inis Bó Finne - Inishbofin Island - Donegal,,,162,492,2,133,11,-8.170623921,55.1678058,Donegal,Inishbofin Island,Ireland,Discovery Point
National Print Museum,https://www.nationalprintmuseum.ie,35316603770,84,230,5,132,11,-6.2354701,53.3352901,Dublin,,Ireland,"Covid Safety Charter,Craft,Shopping,Learning,Activity Operator,Museums and Attraction,Cafe,Food and Drink,Local Produce,Restaurant,Food Shops,Tour"
Cappoquin House,https://www.cappoquinhouseandgardens.com,3.54E+11,440,413,2,129,10,-7.8503399,52.1494507,Waterford,Cappoquin,Ireland,"Walking,Historic Houses and Castle,Gardens,Garden,Tour"
Nano Nagle Centre,http://www.nanonaglebirthplace.ie,3532226411,197,440,2,128,8,-8.52273,52.15127,Cork,,Ireland,"Learning,Museums and Attraction"
West Cork Heritage Centre,https://westcorkheritagecentre.com,3.53E+11,516,349,1,128,11,-8.7366366,51.7467306,Cork,Bandon,Ireland,Museums and Attraction
Monasterboice High Cross and Round Tower,https://www.visitlouth.ie/explore-and-do/explore-louth/sacred-sites-louth/monasterboice-high-cross-and-round-tower.html,3.53E+11,39,162,3,127,10,-6.4177232,53.7777634,Louth,,Ireland,"Photography,Learning,Walking,Historic Houses and Castle,Church Abbey,Monastery,Churches,Abbeys and Monastery,Ruins,Tour"
The Butter Slip - Kilkenny,,,263,343,4,127,6,-7.252329391,52.65236152,Kilkenny,Kilkenny City,Ireland,Museums and Attraction
Ceann Sléibhe (Slea Head) Discovery Point,,,212,328,4,126,7,-10.4553373,52.1050217,Kerry,,Ireland,Discovery Point
Crew Brewing Company,https://www.crewbrewing.ie,,394,371,4,126,10,-8.6236997,52.6619598,Limerick,,Ireland,"Food and Drink,Learning,Museums and Attraction,Local Produce,Restaurant,Pubs and Bar"
Srón Bhroin (Brandon Point),,,523,491,5,126,12,-10.160739,52.287794,Kerry,Brandon,Ireland,Discovery Point
Fore Abbey,https://heritageireland.ie/visit/places-to-visit/fore-abbey/,3.53E+11,48,343,5,125,6,-7.227154,53.683924,Westmeath,Fore,Ireland,"Church Abbey,Monastery,Churches,Abbeys and Monastery,Ruins,Historic Houses and Castle"
Cahervagliar Fort,http://www.coppeenheritage.com/archives/cahir/index.html,3532646078,259,246,2,125,8,-8.996941,51.792933,Cork,Coppeen,Republic of Ireland,"Ruins,Historic Houses and Castle"
Exchange Dublin,https://exchangedublin.ie/,,283,371,5,125,3,-6.268322263,53.34454746,Dublin,,Ireland,"Craft,Shopping,Art Gallery,Activity Operator"
Bog of Frogs Trail,https://visithowth.ie/the-bog-of-frogs-trail/,35318323347,369,278,1,125,11,-6.066380923,53.38800343,Dublin,Howth,Republic of Ireland,"Walking,Forest Park,Park and Forest Walk,Marina,Venue,Natural Landscape"
Garraí Fadó Garden,https://www.facebook.com/Garra%C3%AD-Fad%C3%B3-Garden-Beara-156532801063072,3532774844,295,401,5,124,9,-9.955257441,51.68546683,Cork,Eyeries,Ireland,"Gardening,Nature and Wildlife,Gardens,Garden,Food Shops,Shopping"
Pearse Museum and St. Enda's Park,http://pearsemuseum.ie,+353(0)14934208,441,263,3,124,8,-6.281587822,53.28293774,Dublin,Rathfarnham,Republic of Ireland,"Covid Safety Charter,Walking,Historic Houses and Castle,Gardens,Garden,Museums and Attraction,Public Park,Nature and Wildlife,Cafe,Food and Drink,Tour"
Valentia Slate,https://www.facebook.com/ValentiaSlate/,3.54E+11,38,190,1,123,7,-10.3427468,51.9251401,Kerry,,Ireland,"Activity Operator,Natural Landscape,Tour"
Glasnevin Cemetery Museum,http://www.glasnevinmuseum.ie,35318826550,78,404,1,122,4,-6.2770874,53.37003,Dublin,Glasnevin,Ireland,"Walking,Tracing Your Ancestors,Gardens,Garden,Museums and Attraction,Public Sculpture,Cafe,Food and Drink,Food Shops,Shopping,Tour"
Carrownisky Strand,,,130,343,4,122,3,-9.893226,53.735383,Mayo,Louisburgh,Ireland,Discovery Point
Leixlip Castle,http://intokildare.ie/listing/leixlip-castle,35316244430,292,486,4,122,10,-6.4906293,53.3620101,,,Ireland,"Agriculture,Nature and Wildlife,Photography,Learning,Walking,Historic Houses and Castle,Castle,Gardens,Garden,Tour"
Radharc na mBlascaoidí - Blaskets View,,,235,235,5,121,4,-10.455488,52.104973,Kerry,Dingle Peninsula,Ireland,Discovery Point
Ballyhist Garden,https://tipperary.com/listings/ballyhist-garden/,3.54E+11,139,399,4,120,11,-7.872028223,52.31529252,Tipperary,Ardfinnan,Republic of Ireland,"Gardening,Nature and Wildlife,Gardens,Garden"
